"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Ryan Telfer","TOR","2019","11","0","0","0","0","0","0","8.72727272727273","8.72727272727273","3.88625454545455","4.84101818181818","3.88625454545455","0","0"
"Carlos Vela","LAFC","2019","3185","5.03359497645212","2.26059654631083","1.0850863422292","0.88245852433281","0.129462857142857","0.202627817896389","2.86342229199372","0.331554160125589","0.379273846153846","-0.0477196860282575","1.26173237048666","0.526013689167975","0.479457456828885"
"Amando Moreno","CHI","2019","113","5.09734513274336","1.69911504424779","0","0.820162831858407","-0.406683185840708","-0.820162831858407","0.849557522123894","0","0.440750442477876","-0.440750442477876","1.2609982300885","0","0.635299115044248"
"Ethan Zubak","LAG","2019","57","5.05263157894737","1.68421052631579","0","0.673684210526316","-0.488757894736842","-0.673684210526316","1.68421052631579","0","0.499705263157895","-0.499705263157895","1.17338947368421","0","0.248589473684211"
"Zlatan Ibrahimovic","LAG","2019","3057","4.99313052011776","2.13542688910697","0.973503434739941","0.84076781157998","0.0767591756624141","0.132735623159961","1.47595682041217","0.2198233562316","0.207126987242394","0.0126932286555447","1.04789793915604","0.574294798822375","0.553835525024534"
"Ricardo Pepi","FCD","2019","113","1.69911504424779","0.849557522123894","0","0.227936283185841","-0.151900884955752","-0.227936283185841","3.39823008849558","0","0.713203539823009","-0.713203539823009","0.941139823008849","0","0"
"Josef Martínez","ATL","2019","3105","3.95748792270531","1.63864734299517","0.865700483091787","0.789849661835749","0.00174995169082126","0.0758508212560386","0.958454106280193","0.0618357487922705","0.101497198067633","-0.0396614492753623","0.891349951690821","0.452377971014493","0.386139516908213"
"Zdenek Ondrasek","FCD","2019","951","2.82649842271293","1.51419558359621","0.706624605678233","0.64246309148265","0.0410548895899054","0.0641615141955836","1.21135646687697","0.201892744479495","0.188244794952681","0.0136479495268139","0.830707886435331","0.193140694006309","0.193140694006309"
"Alberth Elis","HOU","2019","2138","3.68194574368569","1.48175865294668","0.404115996258185","0.482990458372311","0.0375603367633302","-0.0788744621141254","1.57156220767072","0.314312441534144","0.315951356407858","-0.00163891487371375","0.798941814780168","0.23845088868101","0.275400561272217"
"Santiago Patiño","ORL","2019","398","2.89447236180905","0.723618090452261","0.482412060301508","0.636205025125628","-0.181652261306533","-0.153792964824121","0.723618090452261","0.241206030150754","0.13449648241206","0.106709547738693","0.770701507537688","0.456482412060302","0.572502512562814"
"Darwin Quintero","MIN","2019","2395","3.28684759916493","1.08225469728601","0.400835073068894","0.540930939457202","-0.129201169102296","-0.140095866388309","2.16450939457203","0.200417536534447","0.22062764091858","-0.0202101043841336","0.761558580375783","0.291876075156576","0.377470396659708"
"Brian Fernández","POR","2019","1570","4.21910828025478","1.8343949044586","0.672611464968153","0.608052993630573","0.0863266242038217","0.0645584713375796","1.28407643312102","0.0611464968152866","0.151215286624204","-0.0900687898089172","0.759268280254777","0.433932229299363","0.404263949044586"
"Adama Diomande","LAFC","2019","1658","3.70566948130277","1.15802171290712","0.579010856453559","0.587238600723764","-0.126178045838359","-0.00822774427020507","1.04221954161641","0.289505428226779","0.159239565741858","0.130265862484922","0.746478166465621","0.314298673100121","0.271197104945718"
"Raúl Ruidíaz","SEA","2019","2380","3.87226890756303","1.57310924369748","0.605042016806723","0.66970487394958","-0.0735085714285714","-0.0646628571428571","0.847058823529412","0.121008403361345","0.0732060504201681","0.0478023529411765","0.742910924369748","0.226620504201681","0.340977478991597"
"Mauro Manotas","HOU","2019","2754","3.20697167755991","1.04575163398693","0.453159041394335","0.530861873638344","-0.1408174291939","-0.0777028322440087","1.28976034858388","0.174291938997821","0.190654466230937","-0.0163625272331155","0.721516339869281","0.353394335511983","0.345373420479303"
"Nemanja Nikolic","CHI","2019","2134","2.1593252108716","0.989690721649485","0.539831302717901","0.581528772258669","-0.0664577319587629","-0.0416974695407685","0.944704779756326","0","0.137274601686973","-0.137274601686973","0.718803373945642","0.293105904404873","0.378813120899719"
"Danny Hoesen","SJE","2019","1690","3.35147928994083","1.42011834319527","0.284023668639053","0.531624142011834","-0.120522603550296","-0.247600473372781","1.36331360946746","0.170414201183432","0.183405443786982","-0.0129912426035503","0.715029585798817","0.238892307692308","0.35095100591716"
"Héber","NYC","2019","1762","3.05107832009081","1.41657207718502","0.817253121452894","0.555623155505108","0.00326356413166856","0.261629965947787","1.41657207718502","0.163450624290579","0.152461293984109","0.0109893303064699","0.708084449489217","0.428131668558456","0.328432236095346"
"Wayne Rooney","DCU","2019","2650","3.15169811320755","1.08679245283019","0.398490566037736","0.46354958490566","-0.0784845283018868","-0.0650590188679245","2.75320754716981","0.253584905660377","0.241887396226415","0.0116975094339623","0.705436981132075","0.263985509433962","0.288604981132075"
"Chris Wondolowski","SJE","2019","2247","3.37516688918558","1.40987983978638","0.640854472630174","0.618501468624833","-0.00231134846461949","0.0223530040053405","0.939919893190921","0.0427236315086782","0.0853361815754339","-0.0426125500667557","0.703837650200267","0.350880640854473","0.310780240320427"
"Dom Dwyer","ORL","2019","1779","3.56155143338954","1.40303541315346","0.377740303541315","0.5595413153457","-0.137195278246206","-0.181801011804385","0.431703204047218","0.161888701517707","0.126289376053963","0.0355993254637437","0.685830691399663","0.182475548060708","0.36882563237774"
"Daniel Royer","NYRB","2019","2628","3.21461187214612","1.42465753424658","0.401826484018265","0.510717808219178","-0.0268858447488584","-0.108891324200913","1.02283105022831","0.255707762557078","0.174794520547945","0.0809132420091324","0.685512328767123","0.208916894977169","0.303046575342466"
"Maximiliano Moralez","NYC","2019","2797","1.8190918841616","0.892384697890597","0.240257418662853","0.359325563103325","-0.0309657490168037","-0.119068144440472","3.32928137289954","0.377547372184483","0.322923131927065","0.0546242402574187","0.68224869503039","0.145324848051484","0.186958026456918"
"Christian Ramirez","LAFC, HOU","2019","1745","2.86074498567335","1.54040114613181","0.49512893982808","0.53917340974212","-0.0926386246418338","-0.0440444699140401","0.99025787965616","0.165042979942693","0.133877363896848","0.0311656160458453","0.673056275071633","0.35950212034384","0.335856962750716"
"Krisztián Németh","SKC","2019","1717","2.90739662201514","1.00640652300524","0.44729178800233","0.540904368083867","-0.0889439720442633","-0.0936125800815376","1.17414094350612","0.111822947000582","0.130871986022132","-0.0190490390215492","0.671776354105999","0.238479207920792","0.250147932440303"
"Jordan Hamilton","CLB, TOR","2019","767","3.00391134289439","1.5019556714472","0.500651890482399","0.65693037809648","-0.147003911342894","-0.156278487614081","0.1251629726206","0","0.00511916558018253","-0.00511916558018253","0.6620370273794","0.493179661016949","0.540704041720991"
