"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Ryan Telfer","TOR","2019","11","26.1818181818182","1","0.703","7.776","29.7005","18.1437","-8.625","0.0176"
"Javier Pérez","LAFC","2019","18","106.666666666667","0.95","0.8872","6.69866666666667","6.2799","20.1927","7.4405","0.0327"
"Chris Duvall","HOU","2019","98","42.1224489795918","0.8837","0.804","3.35990204081633","7.9765","18.3975","1.3345","0.1342"
"Jonathan dos Santos","LAG","2019","2964","59.2712550607287","0.8809","0.8313","2.93954331983806","4.9595","19.8498","3.9542","0.1453"
"André Horta","LAFC","2019","203","58.64039408867","0.879","0.8327","2.71533399014778","4.6305","18.6555","1.9448","0.0619"
"Diego Chara","POR","2019","3005","49.7730449251248","0.9108","0.8596","2.54901883527454","5.1213","19.9365","6.1623","0.1178"
"Haris Medunjanin","PHI","2019","3606","63.0948419301165","0.8169","0.7769","2.52451780366057","4.0011","22.5442","7.9802","0.1434"
"Ilsinho","PHI","2019","1341","52.0447427293065","0.8473","0.7993","2.49699507829978","4.7978","15.0922","0.2191","0.0656"
"Lee Nguyen","LAFC","2019","1478","60.0811907983762","0.893","0.8547","2.29708903924222","3.8233","16.7792","2.5003","0.0758"
"Kevin Kratz","ATL","2019","5","38.4","1","0.9403","2.29248","5.9677","17.7758","8.97","0.0089"
"Osvaldo Alonso","MIN","2019","2682","43.4541387024609","0.9259","0.8735","2.27332080536913","5.2315","20.2619","6.0642","0.1174"
"Gedion Zelalem","SKC","2019","475","42.6442105263158","0.9005","0.8482","2.23128252631579","5.2323","18.9497","3.4069","0.0612"
"Justin Portillo","RSL","2019","207","57.9710144927536","0.912","0.8739","2.21059710144928","3.8133","22.6348","4.128","0.0827"
"Bryan Reynolds","FCD","2019","180","28.8","0.7963","0.7196","2.20992","7.6733","15.5887","-0.8838","0.018"
"Auro","TOR","2019","2396","50.7245409015025","0.857","0.8139","2.18898030050083","4.3154","17.2893","2.1029","0.1051"
"Diedie Traore","LAG","2019","242","29.7520661157025","0.8533","0.7808","2.15769917355372","7.2523","17.4276","1.771","0.057"
"Michael Bradley","TOR","2019","3020","57.9496688741722","0.8662","0.829","2.15157298013245","3.7128","21.6372","6.1745","0.1246"
"Tommy Thompson","SJE","2019","2468","43.4489465153971","0.8917","0.8429","2.12056531604538","4.8806","16.1206","1.5421","0.0922"
"Jamiro Monteiro","PHI","2019","2481","53.5912938331318","0.8628","0.8235","2.10934558645707","3.936","17.5179","3.6723","0.1238"
"Liam Fraser","TOR","2019","887","63.9639233370913","0.8748","0.8427","2.05549312288613","3.2135","22.2897","6.1913","0.1474"
"Shaft Brewer","LAFC","2019","103","53.126213592233","0.9123","0.8741","2.02690485436893","3.8152","15.9179","0.1856","0.1204"
"Sebastian Lletget","LAG","2019","2710","50.9756457564576","0.877","0.8377","2.00454376383764","3.9324","17.1591","1.0941","0.1167"
"Drew Moor","TOR","2019","1171","31.9726729291204","0.9256","0.8633","1.9940536293766","6.2367","19.4105","7.664","0.0615"
"Collin Martin","MIN","2019","209","44.555023923445","0.8763","0.8335","1.90475023923445","4.2751","21.4028","2.6071","0.0841"
"Greg Garza","CIN","2019","998","39.438877755511","0.8561","0.808","1.89686573146293","4.8096","17.8579","2.6184","0.1082"
"Zarek Valentin","POR","2019","1892","43.23044397463","0.8638","0.8206","1.86755517970402","4.32","20.6409","2.9266","0.0911"
"Dejan Jakovic","LAFC","2019","223","25.3991031390135","0.9153","0.8424","1.85125022421525","7.2886","18.4509","4.333","0.0676"
"Diego Polenta","LAG","2019","2959","28.7772896248733","0.8016","0.738","1.82887299763434","6.3553","23.2936","10.7877","0.071"
"Eduard Atuesta","LAFC","2019","3074","66.5504229017567","0.8602","0.8328","1.82309746258946","2.7394","19.2717","6.1574","0.1454"
"Jordan Harvey","LAFC","2019","2756","44.0290275761974","0.8718","0.8334","1.69398200290276","3.8474","16.594","1.5132","0.0804"
"Daniel Kinumbe","MTL","2019","68","45.1764705882353","0.8438","0.8063","1.69284705882353","3.7473","16.5033","-2.1886","0.0765"
"Tristan Blackmon","LAFC","2019","1710","42.9473684210526","0.8784","0.8395","1.67340912280702","3.8964","17.7201","4.129","0.0811"
"Jack Price","COL","2019","2442","44.5012285012285","0.8048","0.768","1.63786535626536","3.6805","24.447","5.7884","0.1243"
"Chad Marshall","SEA","2019","779","23.2913992297818","0.9153","0.8459","1.61753222079589","6.9448","21.8002","8.3682","0.0506"
"Graham Zusi","SKC","2019","2587","49.8739853111712","0.8251","0.793","1.60564545805953","3.2194","20.4966","4.0204","0.1283"
"Jorge Villafaña","POR","2019","2231","41.4809502465262","0.805","0.7664","1.60130667861945","3.8603","18.2939","2.2012","0.0962"
"Cristian Martínez","CHI","2019","80","43.2","0.75","0.713","1.59972","3.7032","20.4706","2.7472","0.0203"
"Darlington Nagbe","ATL","2019","3368","46.061757719715","0.9245","0.8901","1.58512589073634","3.4413","18.2212","1.9886","0.1064"
"Andrés Ríos","SJE","2019","330","41.6","0.8531","0.8161","1.54138181818182","3.7052","17.8181","4.2799","0.041"
"Eddie Segura","LAFC","2019","3449","32.2041171354016","0.917","0.8695","1.53044708611192","4.7523","19.7908","7.5452","0.0683"
"Júnior Moreno","DCU","2019","2951","48.7970179600136","0.8813","0.8503","1.51558332768553","3.1059","17.5225","3.2145","0.1243"
"Keegan Rosenberry","COL","2019","3377","31.2135031092686","0.8188","0.7702","1.51511424341131","4.854","19.1746","4.8448","0.1028"
"Akeem Ward","DCU","2019","50","7.68","1","0.8039","1.506432","19.6149","12.2206","2.4437","0.0161"
"Paxton Pomykal","FCD","2019","2137","42.4071127749181","0.8464","0.8109","1.50362863827796","3.5457","19.3666","2.5069","0.1033"
"Chris McCann","DCU","2019","350","31.8171428571429","0.8448","0.7979","1.49290971428571","4.6922","17.5982","2.6668","0.0547"
"Ben Sweat","NYC","2019","1406","38.5775248933144","0.8248","0.7864","1.48138378378378","3.84","16.7096","1.439","0.0786"
"Marquinhos Pedroso","DCU, FCD","2019","435","37.9586206896552","0.8256","0.7871","1.46089931034483","3.8487","18.1691","-0.8231","0.0648"
"Graham Smith","SKC","2019","976","23.2131147540984","0.9322","0.8696","1.4530131147541","6.2594","22.8357","7.3054","0.0687"
"Cristian Roldan","SEA","2019","3214","45.5208462974487","0.8432","0.8117","1.43430392034848","3.1509","20.1086","4.8888","0.1218"
"Felipe Hernandez","SKC","2019","108","16","0.7778","0.689","1.42","8.875","15.5616","2.2936","0.045"
"Jay Chapman","TOR","2019","610","39.344262295082","0.816","0.7801","1.41387540983607","3.5936","17.0909","0.2967","0.038"
"Luis Martins","SKC","2019","915","41.8622950819672","0.782","0.7482","1.41337180327869","3.3762","18.0415","2.7346","0.1094"
"Luis Felipe","SJE","2019","59","17.8983050847458","0.9091","0.8302","1.41201355932203","7.8888","22.0432","11.27","0.0128"
"Matthew Real","PHI","2019","84","53.7142857142857","0.7872","0.7611","1.4024","2.6108","17.0087","1.796","0.0336"
"Justin Hoyte","CIN","2019","1617","29.6252319109462","0.8838","0.8367","1.39479035250464","4.7081","19.8767","3.9298","0.0819"
"DaMarcus Beasley","HOU","2019","1126","42.1172291296625","0.8401","0.807","1.39245186500888","3.3061","18.0362","2.6229","0.1139"
"Francois Affolter","SJE","2019","99","31.030303030303","0.875","0.8301","1.39229090909091","4.4867","18.3933","5.0025","0.1061"
"Rece Buckmaster","NYRB","2019","733","32.7421555252387","0.784","0.7418","1.38295006821282","4.2238","14.7019","6.406","0.0908"
"Bacary Sagna","MTL","2019","2390","47.8794979079498","0.7693","0.7405","1.37915046025105","2.8805","17.8507","2.9692","0.1119"
"Tommy McCabe","CIN","2019","283","33.5830388692579","0.9293","0.8883","1.37670106007067","4.0994","20.5946","4.4362","0.052"
"Sebastián Méndez","ORL","2019","1997","53.7926890335503","0.899","0.8736","1.36723324987481","2.5417","18.528","3.6629","0.1241"
"Andrew Gutman","CIN","2019","542","37.3726937269373","0.7536","0.717","1.36695498154982","3.6576","19.3953","8.0157","0.0989"
"Andreu Fontàs","SKC","2019","1073","41.5135135135135","0.8858","0.8529","1.36563355079217","3.2896","21.8379","8.0502","0.0844"
"Michael Salazar","HOU","2019","197","24.3654822335025","0.86","0.8041","1.36178680203046","5.5889","15.1473","-2.4219","0.0234"
"Alejandro Bedoya","PHI","2019","3337","45.6841474378184","0.8545","0.8249","1.35590434522026","2.968","16.3839","1.8482","0.1046"
"Djordje Mihailovic","CHI","2019","1600","40.98","0.8141","0.7813","1.340376","3.2708","19.7549","2.6068","0.0706"
"Justin Haak","NYC","2019","18","5.33333333333333","1","0.7524","1.32053333333333","24.7584","9.3247","9.2","0.0062"
"Amando Moreno","CHI","2019","113","21.2389380530973","0.88","0.8182","1.31333097345133","6.1836","16.0301","1.2604","0.0162"
"Andy Polo","POR","2019","1275","39.68","0.8558","0.8228","1.30728658823529","3.2946","17.5502","0.922","0.065"
"Bastian Schweinsteiger","CHI","2019","2927","39.8824735223779","0.861","0.8284","1.30033590707209","3.2604","22.4845","9.0682","0.0997"
"Albert Rusnák","RSL","2019","2846","43.6486296556571","0.8377","0.808","1.29761236823612","2.9729","21.3558","1.8182","0.1147"
